TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps
3,Wtmix,27C,s,7,3_7,0,2.345646,3
3,Wtmix,27C,s,8,3_8,0,2.025663,4
3,Wtmix,27C,c,9,3_9,0,6.725298,8
3,Wtmix,27C,s,10,3_10,0,1.446787,3
3,Wtmix,27C,s,11,3_11,0,1.398076,3
3,Wtmix,27C,s,12,3_12,0,1.165019,3
3,Wtmix,27C,s,13,3_13,0,2.443337,4
3,Wtmix,27C,c,24,3_24,0,3.543767,6
3,Wtmix,27C,s,25,3_25,0,1.619023,4
3,Wtmix,27C,s,18,3_18,0,1.5642,3
3,Wtmix,27C,s,17,3_17,0,2.421858,5
3,Wtmix,27C,c,16,3_16,0,3.941045,5
3,Wtmix,27C,c,14,3_14,0,4.38662,6
3,Wtmix,27C,s,15,3_15,0,3.363111,5
3,Wtmix,27C,c,19,3_19,0,7.270396,7
3,Wtmix,27C,s,20,3_20,0,3.320777,5
3,Wtmix,27C,s,21,3_21,0,4.121901,4
3,Wtmix,27C,s,22,3_22,0,1.993967,3
3,Wtmix,27C,s,23,3_23,0,1.194451,3
3,Wtmix,27C,s,32,3_32,0,2.001469,3
3,Wtmix,27C,s,33,3_33,0,1.748807,3
3,Wtmix,27C,s,34,3_34,0,1.800786,4
3,Wtmix,27C,c,37,3_37,0,5.604649,8
3,Wtmix,27C,s,35,3_35,0,2.422662,3
3,Wtmix,27C,s,36,3_36,0,2.653889,5
3,Wtmix,27C,s,38,3_38,0,1.211867,2
3,Wtmix,27C,s,48,3_48,0,1.544909,3
3,Wtmix,27C,s,49,3_49,0,1.847139,3
3,Wtmix,27C,s,50,3_50,0,1.447649,3
3,Wtmix,27C,s,51,3_51,0,1.50713,4
3,Wtmix,27C,s,52,3_52,0,1.538479,4
3,Wtmix,27C,s,67,3_67,0,1.780423,3
3,Wtmix,27C,s,70,3_70,0,3.00649,5
3,Wtmix,27C,s,69,3_69,0,1.990484,2
3,Wtmix,27C,s,68,3_68,0,2.277977,4
3,Wtmix,27C,s,71,3_71,0,1.078435,2
3,Wtmix,27C,s,72,3_72,0,1.004218,3
3,Wtmix,27C,c,73,3_73,0,5.331088,9
3,Wtmix,27C,s,74,3_74,0,1.007969,1
3,Wtmix,27C,c,75,3_75,0,3.979628,7
3,Wtmix,27C,s,76,3_76,0,1.806145,3
3,Wtmix,27C,s,77,3_77,0,2.096854,3
3,Wtmix,27C,s,78,3_78,0,1.983517,4
3,Wtmix,27C,s,82,3_82,0,2.662999,5
3,Wtmix,27C,s,83,3_83,0,2.052376,5
3,Wtmix,27C,s,83a,3_83a,0,0.572308,1
3,Wtmix,27C,s,84,3_84,0,1.938504,3
3,Wtmix,27C,c,85,3_85,0,2.23993,3
3,Wtmix,27C,s,79,3_79,0,1.11675,3
3,Wtmix,27C,s,80,3_80,0,0.93911,2
3,Wtmix,27C,s,81,3_81,0,1.332973,3
16,Wtmix,27C,s,1,16_1,0,3.376776,6
16,Wtmix,27C,s,2,16_2,0,3.948011,5
16,Wtmix,27C,s,3,16_3,0,0.930536,1
16,Wtmix,27C,c,4,16_4,0,1.969853,4
16,Wtmix,27C,s,5,16_5,0,2.017545,4
16,Wtmix,27C,s,6,16_6,0,2.389706,3
16,Wtmix,27C,c,22,16_22,0,4.878815,10
16,Wtmix,27C,s,23,16_23,0,1.456491,2
16,Wtmix,27C,s,24,16_24,0,1.67325,4
16,Wtmix,27C,s,25,16_25,0,2.18554,5
16,Wtmix,27C,s,26,16_26,0,2.56949,5
16,Wtmix,27C,c,27,16_27,0,2.370682,4
16,Wtmix,27C,s,28,16_28,0,2.284943,5
16,Wtmix,27C,c,29,16_29,0,2.276102,4
16,Wtmix,27C,c,30,16_30,0,2.159014,6
16,Wtmix,27C,s,31,16_31,0,2.534658,4
16,Wtmix,27C,s,32,16_32,0,1.013863,3
16,Wtmix,27C,c,33,16_33,0,5.310993,10
16,Wtmix,27C,c,34,16_34,0,2.97541,6
16,Wtmix,27C,s,41,16_41,0,1.334581,3
16,Wtmix,27C,s,42,16_42,0,1.947614,4
16,Wtmix,27C,c,43,16_43,0,4.364113,6
16,Wtmix,27C,c,35,16_35,0,5.386551,8
16,Wtmix,27C,s,44,16_44,0,1.959135,3
16,Wtmix,27C,s,45,16_45,0,2.806344,5
16,Wtmix,27C,s,46,16_46,0,6.286542,7
16,Wtmix,27C,s,47,16_47,0,2.679343,6
16,Wtmix,27C,s,48,16_48,0,2.26592,5
16,Wtmix,27C,s,49,16_49,0,1.596888,5
16,Wtmix,27C,s,50,16_50,0,1.439075,2
16,Wtmix,27C,s,51,16_51,0,1.924036,3
16,Wtmix,27C,s,52,16_52,0,3.255937,4
16,Wtmix,27C,s,53,16_53,0,1.670838,3
16,Wtmix,27C,s,55,16_55,0,1.541962,3
16,Wtmix,27C,s,54,16_54,0,2.421858,4
16,Wtmix,27C,s,56,16_56,0,1.692541,3
16,Wtmix,27C,s,57,16_57,0,1.759524,4
16,Wtmix,27C,s,58,16_58,0,1.323059,3
16,Wtmix,27C,s,61,16_61,0,1.652083,4
16,Wtmix,27C,s,62,16_62,0,1.147027,2
16,Wtmix,27C,s,63,16_63,0,1.634935,4
16,Wtmix,27C,s,64,16_64,0,1.239732,2
16,Wtmix,27C,c,65,16_65,0,4.412342,9
16,Wtmix,27C,s,66,16_66,0,1.475782,3
16,Wtmix,27C,s,7,16_7,0,0.933215,2
16,Wtmix,27C,s,8,16_8,0,2.988539,5
16,Wtmix,27C,c,9,16_9,0,2.167856,5
16,Wtmix,27C,s,10,16_10,0,2.354338,3
16,Wtmix,27C,c,11,16_11,0,5.712627,9
16,Wtmix,27C,c,12,16_12,0,1.933414,4
16,Wtmix,27C,c,13,16_13,0,1.135773,3
16,Wtmix,27C,s,14,16_14,0,1.545713,4
16,Wtmix,27C,c,15,16_15,0,8.916852,14
16,Wtmix,27C,s,16,16_16,0,1.91707,3
16,Wtmix,27C,s,17,16_17,0,2.079974,3
16,Wtmix,27C,s,18,16_18,0,2.536534,5
