TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps,PropGrowthArea,PropGrowthPolyps,Log10PropGrowthPolypsTranslate
9,WT,31C,c,8,9_8,0,2.048357,4,,,
9,WT,31C,s,7,9_7,0,0.774866,4,,,
9,WT,31C,c,9,9_9,0,3.54745,8,,,
9,WT,31C,s,10,9_10,0,1.175696,4,,,
9,WT,31C,s,11,9_11,0,1.714511,3,,,
9,WT,31C,s,12,9_12,0,0.793085,1,,,
9,WT,31C,s,13,9_13,0,1.182394,3,,,
9,WT,31C,s,14,9_14,0,2.905747,4,,,
9,WT,31C,s,26,9_26,0,1.636275,3,,,
9,WT,31C,c,27,9_27,0,3.117683,8,,,
9,WT,31C,s,30a,9_30a,0,0.808626,3,,,
9,WT,31C,s,28,9_28,0,1.038513,2,,,
9,WT,31C,s,29,9_29,0,1.500968,3,,,
9,WT,31C,c,30,9_30,0,8.498875,9,,,
9,WT,31C,s,47,9_47,0,1.441754,3,,,
9,WT,31C,s,48,9_48,0,1.708617,4,,,
9,WT,31C,s,49,9_49,0,1.229282,4,,,
9,WT,31C,s,50,9_50,0,1.513829,3,,,
9,WT,31C,s,52,9_52,0,1.627701,3,,,
9,WT,31C,s,53,9_53,0,1.723889,4,,,
9,WT,31C,s,54,9_54,0,1.969049,4,,,
9,WT,31C,c,63,9_63,0,6.26082,10,,,
9,WT,31C,c,64,9_64,0,2.908159,6,,,
9,WT,31C,s,65,9_65,0,1.239196,2,,,
9,WT,31C,s,66,9_66,0,1.300553,4,,,
9,WT,31C,s,67,9_67,0,2.07274,4,,,
9,WT,31C,s,69,9_69,0,2.416499,6,,,
9,WT,31C,s,70,9_70,0,0.663137,2,,,
9,WT,31C,c,79,9_79,0,5.092627,8,,,
9,WT,31C,s,81,9_81,0,0.986802,2,,,
9,WT,31C,s,82,9_82,0,1.556698,4,,,
9,WT,31C,s,83,9_83,0,0.60312,1,,,
9,WT,31C,s,84,9_84,0,0.941789,1,,,
9,WT,31C,c,85,9_85,0,2.294857,5,,,
9,WT,31C,s,72,9_72,0,1.741305,4,,,
9,WT,31C,s,78,9_78,0,1.123984,3,,,
9,WT,31C,s,73,9_73,0,2.282532,4,,,
9,WT,31C,c,76,9_76,0,2.713906,7,,,
9,WT,31C,c,75,9_75,0,2.503042,4,,,
9,WT,31C,s,77,9_77,0,1.220173,3,,,
9,WT,31C,s,17,9_17,22,1.515299,2,,,
9,WT,31C,s,4,9_4,22,1.367914,3,,,
9,WT,31C,s,6,9_6,22,1.021969,4,,,
9,WT,31C,s,39,9_39,22,,,,,
9,WT,31C,s,58,9_58,22,,,,,
9,WT,31C,s,68,9_68,22,,,,,
9,WT,31C,s,43,9_43,22,,,,,
9,WT,31C,s,80,9_80,22,,,,,
9,WT,31C,s,74,9_74,22,,,,,
9,WT,31C,s,18,9_18,22,,,,,
9,WT,31C,s,51,9_51,22,,,,,
9,WT,31C,s,71,9_71,22,,,,,
9,WT,31C,s,86,9_86,22,,,,,
9,WT,31C,s,1,9_1,22,1.626093,3,,,
9,WT,31C,s,2,9_2,22,2.663159,5,,,
9,WT,31C,s,3,9_3,22,1.840005,6,,,
9,WT,31C,s,5,9_5,22,,,,,
9,WT,31C,s,15,9_15,22,1.415507,3,,,
9,WT,31C,s,16,9_16,22,,,,,
9,WT,31C,s,21,9_21,22,1.729211,4,,,
9,WT,31C,s,19,9_19,22,,,,,
9,WT,31C,s,20,9_20,22,2.199767,4,,,
9,WT,31C,c,22,9_22,22,,,,,
